PLANT_NAME,MATERIAL_NAME,BATCH_NUMBER,BALANCE_AS_OF_DATE,STOCK_MT,SELL_VALUE_USD,STATUS,DAYS_LEFT,LOSS_VALUE_USD
CHINA-WAREHOUSE,MAT-0045,SCRAP,2023-12-31,0.164,29.540000000000003,Expired,,8.862
CHINA-WAREHOUSE,MAT-0193,6024,2023-12-31,0.0,12273.240000000002,Near Expiry,83.0,0.0
CHINA-WAREHOUSE,MAT-0193,5755,2023-12-31,70.72,58018.66,Near Expiry,83.0,0.0
CHINA-WAREHOUSE,MAT-0193,3142,2023-12-31,12.24,10041.640000000001,Near Expiry,83.0,0.0
CHINA-WAREHOUSE,MAT-0193,6734,2023-12-31,2.72,2231.46,Near Expiry,83.0,0.0
CHINA-WAREHOUSE,MAT-0311,SCRAP,2023-12-31,4.142,3502.5200000000004,Expired,,700.5040000000001
CHINA-WAREHOUSE,MAT-0374,5995C5416,2023-12-31,1.0,900.2,Healthy,120.0,0.0
CHINA-WAREHOUSE,MAT-0374,8466C2971,2023-12-31,15.125,13615.560000000001,Healthy,120.0,0.0
CHINA-WAREHOUSE,MAT-0374,8143C2373,2023-12-31,32.975,29684.06,Healthy,120.0,0.0
CHINA-WAREHOUSE,MAT-0046,9532,2023-12-31,15.125,13615.560000000001,Healthy,123.0,0.0
CHINA-WAREHOUSE,MAT-0046,7952,2023-12-31,21.025,18926.74,Healthy,123.0,0.0
CHINA-WAREHOUSE,MAT-0046,4374,2023-12-31,2.4,2160.48,Healthy,123.0,0.0
CHINA-WAREHOUSE,MAT-0046,5785,2023-12-31,22.0,19804.4,Healthy,123.0,0.0
CHINA-WAREHOUSE,MAT-0046,9155,2023-12-31,49.5,44559.9,Healthy,123.0,0.0
CHINA-WAREHOUSE,MAT-0046,9578,2023-12-31,49.5,44559.9,Healthy,123.0,0.0
CHINA-WAREHOUSE,MAT-0046,9275,2023-12-31,24.75,22280.02,Healthy,123.0,0.0
CHINA-WAREHOUSE,MAT-0046,4895,2023-12-31,24.75,22280.02,Healthy,123.0,0.0
CHINA-WAREHOUSE,MAT-0046,8398,2023-12-31,24.75,22280.02,Healthy,123.0,0.0
CHINA-WAREHOUSE,MAT-0046,3129,2023-12-31,73.55,66209.78000000001,Healthy,123.0,0.0
CHINA-WAREHOUSE,MAT-0046,4463,2023-12-31,14.85,13368.04,Healthy,123.0,0.0
CHINA-WAREHOUSE,MAT-0046,1412,2023-12-31,71.025,63936.740000000005,Healthy,123.0,0.0
CHINA-WAREHOUSE,MAT-0046,1236,2023-12-31,27.5,24755.500000000004,Healthy,123.0,0.0
CHINA-WAREHOUSE,MAT-0046,5610,2023-12-31,59.075,53179.280000000006,Healthy,123.0,0.0
CHINA-WAREHOUSE,MAT-0046,3126,2023-12-31,35.225,31709.58,Healthy,123.0,0.0
CHINA-WAREHOUSE,MAT-0046,7679,2023-12-31,83.875,75504.24,Healthy,123.0,0.0
CHINA-WAREHOUSE,MAT-0046,3347,2023-12-31,53.625,48273.26,Healthy,123.0,0.0
CHINA-WAREHOUSE,MAT-0046,2920,2023-12-31,74.25,66839.92000000001,Healthy,123.0,0.0
CHINA-WAREHOUSE,MAT-0046,9044,2023-12-31,2.575,2317.98,Healthy,123.0,0.0
CHINA-WAREHOUSE,MAT-0046,6216,2023-12-31,10.975,9879.660000000002,Healthy,123.0,0.0
CHINA-WAREHOUSE,MAT-0046,2754,2023-12-31,46.75,42084.420000000006,Healthy,123.0,0.0
CHINA-WAREHOUSE,MAT-0046,8648,2023-12-31,13.75,12377.820000000002,Healthy,123.0,0.0
CHINA-WAREHOUSE,MAT-0046,9511,2023-12-31,24.75,22280.02,Healthy,123.0,0.0
CHINA-WAREHOUSE,MAT-0194,SCRAP,2023-12-31,0.1,43.96,Expired,,10.99
CHINA-WAREHOUSE,MAT-0257,SCRAP,2023-12-31,5.151,1463.9800000000002,Expired,,731.9900000000001
CHINA-WAREHOUSE,MAT-0195,8366,2023-12-31,9.7,6681.920000000001,Healthy,206.0,0.0
CHINA-WAREHOUSE,MAT-0195,7680,2023-12-31,1.2,527.5200000000001,Healthy,206.0,0.0
CHINA-WAREHOUSE,MAT-0195,8508,2023-12-31,48.1,21144.760000000002,Healthy,206.0,0.0
CHINA-WAREHOUSE,MAT-0195,6058,2023-12-31,24.75,10880.1,Healthy,206.0,0.0
CHINA-WAREHOUSE,MAT-0195,8887,2023-12-31,133.3,58598.68000000001,Healthy,206.0,0.0
CHINA-WAREHOUSE,MAT-0195,6938,2023-12-31,44.0,19342.4,Healthy,206.0,0.0
CHINA-WAREHOUSE,MAT-0195,5314,2023-12-31,49.375,21705.320000000003,Healthy,206.0,0.0
CHINA-WAREHOUSE,MAT-0195,8293,2023-12-31,24.225,10649.380000000001,Healthy,206.0,0.0
CHINA-WAREHOUSE,MAT-0195,2156,2023-12-31,15.125,6649.02,Healthy,206.0,0.0
CHINA-WAREHOUSE,MAT-0195,8759,2023-12-31,54.95,24156.020000000004,Healthy,206.0,0.0
CHINA-WAREHOUSE,MAT-0195,6259,2023-12-31,49.375,21705.320000000003,Healthy,206.0,0.0
CHINA-WAREHOUSE,MAT-0082,3959A,2023-12-31,0.45,537.46,Healthy,166.0,0.0
CHINA-WAREHOUSE,MAT-0082,5148A,2023-12-31,1.2,1433.0400000000002,Healthy,166.0,0.0
CHINA-WAREHOUSE,MAT-0082,7082A,2023-12-31,0.95,1134.5600000000002,Healthy,166.0,0.0
CHINA-WAREHOUSE,MAT-0082,2284A,2023-12-31,21.225,25346.860000000004,Healthy,166.0,0.0
CHINA-WAREHOUSE,MAT-0082,7764A,2023-12-31,32.5,38811.50000000001,Healthy,166.0,0.0
CHINA-WAREHOUSE,MAT-0082,5718A,2023-12-31,25.0,29855.000000000004,Healthy,166.0,0.0
CHINA-WAREHOUSE,MAT-0082,7449A,2023-12-31,2.5,2985.5000000000005,Healthy,166.0,0.0
CHINA-WAREHOUSE,MAT-0082,4475A,2023-12-31,96.25,114941.82,Healthy,166.0,0.0
CHINA-WAREHOUSE,MAT-0082,8172A,2023-12-31,101.25,120912.82,Healthy,166.0,0.0
CHINA-WAREHOUSE,MAT-0082,9329A,2023-12-31,101.15,120793.40000000001,Healthy,166.0,0.0
CHINA-WAREHOUSE,MAT-0082,5192A,2023-12-31,18.75,22391.320000000003,Healthy,166.0,0.0
CHINA-WAREHOUSE,MAT-0082,1944A,2023-12-31,39.925,47678.4,Healthy,166.0,0.0
CHINA-WAREHOUSE,MAT-0082,2090A,2023-12-31,25.0,29855.000000000004,Healthy,166.0,0.0
CHINA-WAREHOUSE,MAT-0082,9762A,2023-12-31,105.0,125391.00000000001,Healthy,166.0,0.0
CHINA-WAREHOUSE,MAT-0082,7599A,2023-12-31,30.0,35826.0,Healthy,166.0,0.0
CHINA-WAREHOUSE,MAT-0082,7853A,2023-12-31,32.5,38811.50000000001,Healthy,166.0,0.0
CHINA-WAREHOUSE,MAT-0082,9359A,2023-12-31,88.675,105895.72000000002,Healthy,166.0,0.0
CHINA-WAREHOUSE,MAT-0082,3782A,2023-12-31,67.5,80608.50000000001,Healthy,166.0,0.0
CHINA-WAREHOUSE,MAT-0082,8111A,2023-12-31,11.25,13434.820000000002,Healthy,166.0,0.0
CHINA-WAREHOUSE,MAT-0196,3198A,2023-12-31,0.9,1074.7800000000002,Healthy,160.0,0.0
CHINA-WAREHOUSE,MAT-0196,9509A,2023-12-31,47.5,56724.50000000001,Healthy,160.0,0.0
CHINA-WAREHOUSE,MAT-0196,6985A,2023-12-31,30.0,35826.0,Healthy,160.0,0.0
CHINA-WAREHOUSE,MAT-0047,3423A,2023-12-31,35.0,41797.00000000001,Healthy,314.0,0.0
CHINA-WAREHOUSE,MAT-0047,3484A,2023-12-31,52.425,62605.90000000001,Healthy,314.0,0.0
CHINA-WAREHOUSE,MAT-0047,3322A,2023-12-31,6.25,7463.820000000001,Healthy,314.0,0.0
CHINA-WAREHOUSE,MAT-0047,8958A,2023-12-31,1.125,1343.44,Healthy,314.0,0.0
CHINA-WAREHOUSE,MAT-0047,2945A,2023-12-31,107.4,128257.08000000002,Healthy,314.0,0.0
CHINA-WAREHOUSE,MAT-0047,4889A,2023-12-31,41.2,49201.04000000001,Healthy,314.0,0.0
CHINA-WAREHOUSE,MAT-0047,3314A,2023-12-31,2.5,2985.5000000000005,Healthy,314.0,0.0
CHINA-WAREHOUSE,MAT-0047,3532A,2023-12-31,1.25,1492.8200000000002,Healthy,314.0,0.0
CHINA-WAREHOUSE,MAT-0047,6746A,2023-12-31,60.0,71652.0,Healthy,314.0,0.0
CHINA-WAREHOUSE,MAT-0047,1825A,2023-12-31,85.0,101507.00000000001,Healthy,314.0,0.0
CHINA-WAREHOUSE,MAT-0047,4531A,2023-12-31,101.25,120912.82,Healthy,314.0,0.0
CHINA-WAREHOUSE,MAT-0047,7900A,2023-12-31,100.0,119420.00000000001,Healthy,314.0,0.0
CHINA-WAREHOUSE,MAT-0047,9845A,2023-12-31,90.0,107478.00000000001,Healthy,314.0,0.0
CHINA-WAREHOUSE,MAT-0047,2751A,2023-12-31,18.75,22391.320000000003,Healthy,314.0,0.0
CHINA-WAREHOUSE,MAT-0047,3175A,2023-12-31,5.0,5971.000000000001,Healthy,314.0,0.0
CHINA-WAREHOUSE,MAT-0094,2542A,2023-12-31,1.8,234.36,Expired,,58.59
CHINA-WAREHOUSE,MAT-0258,SCRAP,2023-12-31,10.048,8243.060000000001,Expired,,2060.7650000000003
CHINA-WAREHOUSE,MAT-0259,9061A,2023-12-31,0.9,395.64000000000004,Healthy,219.0,0.0
CHINA-WAREHOUSE,MAT-0259,6906A,2023-12-31,0.75,329.70000000000005,Healthy,219.0,0.0
CHINA-WAREHOUSE,MAT-0259,8447A,2023-12-31,0.0,2417.8,Healthy,219.0,0.0
CHINA-WAREHOUSE,MAT-0259,4875A,2023-12-31,20.0,8792.0,Healthy,219.0,0.0
